time,pulse,breath,gsr,datetime
"set(['t: 1193999', 'b: 1451.00', '2018-10-31_16:35:55.221000', 'g: 4095.00', 'p: 2690.00'])"
"set(['b: 1450.00', '2018-10-31_16:35:55.265000', 'g: 4095.00', 't: 1194019', 'p: 2687.00'])"
"set(['b: 1439.00', '2018-10-31_16:35:55.308000', 't: 1194039', 'g: 4095.00', 'p: 2687.00'])"
"set(['t: 1194059', '2018-10-31_16:35:55.348000', 'g: 4095.00', 'b: 1441.00', 'p: 2687.00'])"
"set(['p: 2689.00', '2018-10-31_16:35:55.388000', 'b: 1439.00', 'g: 4095.00', 't: 1194079'])"
"set(['g: 4095.00', '2018-10-31_16:35:55.418000', 't: 1194099', 'b: 1438.00', 'p: 2687.00'])"
"set(['t: 1194119', 'b: 1440.00', '2018-10-31_16:35:55.457000', 'g: 4095.00', 'p: 2687.00'])"
"set(['b: 1443.00', '2018-10-31_16:35:55.495000', 't: 1194139', 'g: 4095.00', 'p: 2687.00'])"
"set(['2018-10-31_16:35:55.536000', 'b: 1442.00', 't: 1194159', 'g: 4095.00', 'p: 2687.00'])"
"set(['2018-10-31_16:35:55.587000', 'b: 1440.00', 'g: 4095.00', 't: 1194179', 'p: 2687.00'])"
"set(['t: 1194199', '2018-10-31_16:35:55.625000', 'b: 1442.00', 'g: 4095.00', 'p: 2687.00'])"
"set(['2018-10-31_16:35:55.701000', 't: 1194219', 'b: 1442.00', 'g: 4095.00', 'p: 2687.00'])"
"set(['g: 4095.00', 'b: 1442.00', 't: 1194239', '2018-10-31_16:35:55.750000', 'p: 2687.00'])"
"set(['2018-10-31_16:35:55.791000', 'b: 1446.00', 'p: 2691.00', 'g: 4095.00', 't: 1194259'])"
"set(['2018-10-31_16:35:55.833000', 't: 1194279', 'g: 4095.00', 'b: 1440.00', 'p: 2687.00'])"
"set(['t: 1194299', '2018-10-31_16:35:55.875000', 'g: 4095.00', 'b: 1441.00', 'p: 2687.00'])"
"set(['b: 1443.00', '2018-10-31_16:35:55.927000', 'g: 4095.00', 't: 1194319', 'p: 2687.00'])"
"set(['2018-10-31_16:35:55.971000', 'b: 1442.00', 't: 1194339', 'g: 4095.00', 'p: 2687.00'])"
"set(['b: 1440.00', 't: 1194359', '2018-10-31_16:35:56.023000', 'g: 4095.00', 'p: 2687.00'])"
"set(['t: 1194379', 'b: 1442.00', 'g: 4095.00', '2018-10-31_16:35:56.076000', 'p: 2687.00'])"
"set(['2018-10-31_16:35:56.131000', 'b: 1440.00', 'g: 4095.00', 't: 1194399', 'p: 2687.00'])"
"set(['2018-10-31_16:35:56.184000', 't: 1194419', 'g: 4095.00', 'b: 1438.00', 'p: 2687.00'])"
"set(['b: 1445.00', 'p: 2687.00', '2018-10-31_16:35:56.224000', 'g: 4095.00', 't: 1194439'])"
"set(['g: 4095.00', 'p: 2689.00', '2018-10-31_16:35:56.273000', 't: 1194459', 'b: 1440.00'])"
"set(['t: 1194479', '2018-10-31_16:35:56.307000', 'g: 4095.00', 'b: 1441.00', 'p: 2687.00'])"
"set(['2018-10-31_16:35:56.385000', 't: 1194499', 'b: 1433.00', 'g: 4095.00', 'p: 2690.00'])"
"set(['b: 1434.00', '2018-10-31_16:35:56.425000', 't: 1194519', 'g: 4095.00', 'p: 2690.00'])"
"set(['p: 2689.00', '2018-10-31_16:35:56.465000', 'b: 1429.00', 'g: 4095.00', 't: 1194539'])"
"set(['t: 1194559', '2018-10-31_16:35:56.499000', 'g: 4095.00', 'b: 1438.00', 'p: 2687.00'])"
"set(['t: 1194579', '2018-10-31_16:35:56.534000', 'g: 4095.00', 'b: 1441.00', 'p: 2687.00'])"
"set(['g: 4095.00', '2018-10-31_16:35:56.567000', 't: 1194599', 'b: 1435.00', 'p: 2687.00'])"
"set(['2018-10-31_16:35:56.598000', 'p: 2687.00', 'g: 4095.00', 'b: 1438.00', 't: 1194619'])"
"set(['t: 1194639', 'b: 1436.00', 'g: 4095.00', '2018-10-31_16:35:56.630000', 'p: 2689.00'])"
"set(['2018-10-31_16:35:56.665000', 't: 1194659', 'g: 4095.00', 'b: 1438.00', 'p: 2687.00'])"
"set(['g: 4095.00', '2018-10-31_16:35:56.708000', 't: 1194679', 'b: 1438.00', 'p: 2687.00'])"
"set(['b: 1436.00', '2018-10-31_16:35:56.749000', 'p: 2691.00', 'g: 4095.00', 't: 1194699'])"
"set(['t: 1194719', 'b: 1424.00', 'g: 4095.00', 'p: 2671.00', '2018-10-31_16:35:56.792000'])"
"set(['t: 1194739', 'p: 2689.00', 'g: 4095.00', 'b: 1438.00', '2018-10-31_16:35:56.838000'])"
"set(['p: 2683.00', '2018-10-31_16:35:56.881000', 'g: 4095.00', 't: 1194759', 'b: 1437.00'])"
