['46319', '1836.00', '1200.00', '4095.00', '2018-11-01_14:44:45.796698']
['46339', '1826.00', '1198.00', '4095.00', '2018-11-01_14:44:45.846306']
['46359', '1822.00', '1198.00', '4095.00', '2018-11-01_14:44:45.895948']
['46379', '1831.00', '1195.00', '4095.00', '2018-11-01_14:44:45.947484']
['46399', '1819.00', '1194.00', '4095.00', '2018-11-01_14:44:45.998074']
['46419', '1819.00', '1196.00', '4095.00', '2018-11-01_14:44:46.048663']
['46439', '1815.00', '1209.00', '4095.00', '2018-11-01_14:44:46.100290']
['46459', '1821.00', '1195.00', '4095.00', '2018-11-01_14:44:46.152329']
['46479', '1809.00', '1194.00', '4095.00', '2018-11-01_14:44:46.203468']
['46499', '1803.00', '1195.00', '4095.00', '2018-11-01_14:44:46.254565']
['46519', '1791.00', '1190.00', '4095.00', '2018-11-01_14:44:46.304602']
['46539', '1783.00', '1196.00', '4095.00', '2018-11-01_14:44:46.356727']
['46559', '1778.00', '1201.00', '4095.00', '2018-11-01_14:44:46.407325']
['46579', '1777.00', '1194.00', '4095.00', '2018-11-01_14:44:46.457865']
['46599', '1779.00', '1194.00', '4095.00', '2018-11-01_14:44:46.509005']
['46619', '1773.00', '1191.00', '4095.00', '2018-11-01_14:44:46.560537']
['46639', '1767.00', '1189.00', '4095.00', '2018-11-01_14:44:46.613617']
['46659', '1774.00', '1188.00', '4095.00', '2018-11-01_14:44:46.665240']
['46679', '1771.00', '1193.00', '4095.00', '2018-11-01_14:44:46.715837']
['46699', '1765.00', '1188.00', '4095.00', '2018-11-01_14:44:46.765882']
['46719', '1758.00', '1190.00', '4095.00', '2018-11-01_14:44:46.815712']
['46739', '1761.00', '1195.00', '4095.00', '2018-11-01_14:44:46.865611']
['46759', '1763.00', '1190.00', '4095.00', '2018-11-01_14:44:46.915672']
['46779', '1767.00', '1196.00', '4095.00', '2018-11-01_14:44:46.965798']
['46799', '1776.00', '1190.00', '4095.00', '2018-11-01_14:44:47.015415']
['46819', '1777.00', '1193.00', '4095.00', '2018-11-01_14:44:47.064470']
['46839', '1782.00', '1191.00', '4095.00', '2018-11-01_14:44:47.116554']
['46859', '1799.00', '1193.00', '4095.00', '2018-11-01_14:44:47.168178']
['46879', '1807.00', '1192.00', '4095.00', '2018-11-01_14:44:47.218775']
['46899', '1814.00', '1194.00', '4095.00', '2018-11-01_14:44:47.269522']
['46919', '1825.00', '1182.00', '4095.00', '2018-11-01_14:44:47.318979']
['46939', '1831.00', '1190.00', '4095.00', '2018-11-01_14:44:47.370016']
['46959', '1829.00', '1190.00', '4095.00', '2018-11-01_14:44:47.421598']
['46979', '1840.00', '1194.00', '4095.00', '2018-11-01_14:44:47.472681']
['46999', '1840.00', '1194.00', '4095.00', '2018-11-01_14:44:47.523330']
